hour,timestamp,metrics
168,2020-06-29T13:00:00Z,"{'MASE': np.float64(1.9774727659894387), 'PI_Coverage': np.float64(0.4583333333333333)}"
336,2020-07-06T13:00:00Z,"{'MASE': np.float64(2.018566081749409), 'PI_Coverage': np.float64(0.43452380952380953)}"
504,2020-07-13T13:00:00Z,"{'MASE': np.float64(1.8540329644076683), 'PI_Coverage': np.float64(0.5654761904761905)}"
672,2020-07-20T13:00:00Z,"{'MASE': np.float64(1.3371852244587161), 'PI_Coverage': np.float64(0.7619047619047619)}"
840,2020-07-27T13:00:00Z,"{'MASE': np.float64(2.2257405243386557), 'PI_Coverage': np.float64(0.6488095238095238)}"
1008,2020-08-03T13:00:00Z,"{'MASE': np.float64(2.2870164215263955), 'PI_Coverage': np.float64(0.6428571428571429)}"
1176,2020-08-10T13:00:00Z,"{'MASE': np.float64(2.98170958817013), 'PI_Coverage': np.float64(0.7440476190476191)}"
1344,2020-08-17T13:00:00Z,"{'MASE': np.float64(2.005878229132927), 'PI_Coverage': np.float64(0.8869047619047619)}"
1512,2020-08-24T13:00:00Z,"{'MASE': np.float64(2.1842206590945983), 'PI_Coverage': np.float64(0.8511904761904762)}"
1680,2020-08-31T13:00:00Z,"{'MASE': np.float64(2.403577942323885), 'PI_Coverage': np.float64(0.7202380952380952)}"
1848,2020-09-07T13:00:00Z,"{'MASE': np.float64(2.2236032307191205), 'PI_Coverage': np.float64(0.8095238095238095)}"
