country,model,MSE,RMSE,MAE,MAPE,sMAPE,MASE,PR_AUC,F1_at_P80
CH,GRU,222074.6963838026,471.2480200317054,354.78927789271813,5.506305585380227,5.577116324876617,1.5793820364187705,0.119098589109572,0.3157894736842105
CH,LSTM,213627.2605364626,462.1982913603885,344.6772025138009,5.340395653472179,5.417899654878039,1.5343670621804464,0.037108153815325784,0.2
CH,LSTM_Attention,292585.93750237324,540.9121347338893,417.62469429085877,6.421908963984222,6.561781587164263,1.8591005456690008,0.3895039676848824,0.4444444444444444
FR,GRU,7936461.137484301,2817.172543080083,1838.7200763665292,4.366616127279325,4.290715941487903,1.1261417300927352,0.025758343001575527,0.056074766355140186
FR,LSTM,7803851.086096606,2793.537378682556,1806.8939041774165,4.227131880057665,4.187892750657144,1.1066494859649063,0.14915416510768545,0.2222222222222222
FR,LSTM_Attention,11480215.683247901,3388.246697518925,2416.2646612483877,5.7424434561883455,5.613966097276648,1.4798644453576861,0.11315327184892401,0.2
AT,GRU,129418.33864148312,359.7476040802539,234.68912499652595,3.6617255223561873,3.705144312077868,0.9892645640228079,0.5175659187268611,0.5333333333333333
AT,LSTM,116946.23955706882,341.9740334543967,227.19680839418473,3.561378432769751,3.572609034552929,0.957682856445835,0.13390738170653094,0.13333333333333333
AT,LSTM_Attention,186244.1090464713,431.560087411326,303.3067757544947,4.681712718696788,4.739225836466673,1.2785025522012379,0.14235069744921497,0.27586206896551724
